"","happy","hapmar","health","finalter","satfin","income16","new_income_range"
"329","Very happy","VERY HAPPY","Good","Better","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"330","Not too happy","NOT TOO HAPPY","Good","Worse","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"331","Pretty happy","VERY HAPPY","Fair","Better","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"332","Pretty happy","PRETTY HAPPY","Good","Stayed same","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"333","Very happy","VERY HAPPY","Fair","Stayed same","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"334","Pretty happy","PRETTY HAPPY","Fair","Better","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"335","Pretty happy","PRETTY HAPPY","Good","Better","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"336","Pretty happy","VERY HAPPY","Good","Worse","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"337","Pretty happy","VERY HAPPY","Good","Worse","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"338","Pretty happy","PRETTY HAPPY","Good","Better","Not satisfied at all","$130000 TO $149999","90 000 to 170 000"
"339","Pretty happy","VERY HAPPY","Good","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"340","Pretty happy","VERY HAPPY","Good","Stayed same","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"341","Pretty happy","VERY HAPPY","Excellent","Stayed same","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"342","Pretty happy","VERY HAPPY","Excellent","Stayed same","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"343","Pretty happy","VERY HAPPY","Excellent","Stayed same","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"344","Pretty happy","PRETTY HAPPY","Good","Stayed same","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"345","Pretty happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"346","Very happy","VERY HAPPY","Fair","Stayed same","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"347","Pretty happy","VERY HAPPY","Good","Better","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"348","Pretty happy","VERY HAPPY","Good","Better","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"349","Pretty happy","PRETTY HAPPY","Good","Worse","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"350","Pretty happy","VERY HAPPY","Good","Stayed same","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"351","Pretty happy","PRETTY HAPPY","Good","Stayed same","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"352","Pretty happy","PRETTY HAPPY","Good","Stayed same","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"353","Pretty happy","VERY HAPPY","Good","Better","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"354","Very happy","VERY HAPPY","Good","Worse","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"355","Pretty happy","PRETTY HAPPY","Fair","Worse","Not satisfied at all","$4 000 TO 4 999","0 to 9 999"
"356","Pretty happy","VERY HAPPY","Good","Worse","Not satisfied at all","$5 000 TO 5 999","0 to 9 999"
"357","Pretty happy","PRETTY HAPPY","Fair","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"358","Pretty happy","VERY HAPPY","Excellent","Better","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"359","Pretty happy","PRETTY HAPPY","Excellent","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"360","Very happy","VERY HAPPY","Good","Better","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"361","Very happy","VERY HAPPY","Fair","Stayed same","More or less satisfied","UNDER $1 000","0 to 9 999"
"362","Pretty happy","PRETTY HAPPY","Excellent","Better","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"363","Pretty happy","VERY HAPPY","Good","Better","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"364","Pretty happy","VERY HAPPY","Fair","Better","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"365","Very happy","VERY HAPPY","Good","Stayed same","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"366","Pretty happy","VERY HAPPY","Good","Better","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"367","Not too happy","PRETTY HAPPY","Good","Stayed same","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"368","Not too happy","NOT TOO HAPPY","Fair","Stayed same","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"369","Pretty happy","PRETTY HAPPY","Good","Better","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"370","Pretty happy","VERY HAPPY","Excellent","Better","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"371","Pretty happy","VERY HAPPY","Good","Stayed same","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"372","Pretty happy","NOT TOO HAPPY","Excellent","Stayed same","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"373","Pretty happy","VERY HAPPY","Good","Stayed same","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"374","Very happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"375","Pretty happy","VERY HAPPY","Fair","Better","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"376","Pretty happy","PRETTY HAPPY","Excellent","Worse","Not satisfied at all","$170000 OR OVER","90 000 to 170 000"
"377","Pretty happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"378","Pretty happy","VERY HAPPY","Good","Better","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"379","Pretty happy","PRETTY HAPPY","Good","Better","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"380","Pretty happy","NOT TOO HAPPY","Fair","Worse","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"381","Pretty happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"382","Very happy","VERY HAPPY","Excellent","Worse","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"383","Very happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"384","Not too happy","PRETTY HAPPY","Good","Better","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"385","Very happy","PRETTY HAPPY","Excellent","Stayed same","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"386","Not too happy","NOT TOO HAPPY","Excellent","Stayed same","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"387","Pretty happy","VERY HAPPY","Fair","Worse","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"388","Not too happy","PRETTY HAPPY","Good","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
