"","happy","hapmar","health","finalter","satfin","income16","new_income_range"
"419","Pretty happy","VERY HAPPY","Excellent","Better","Not satisfied at all","$170000 OR OVER","90 000 to 170 000"
"420","Pretty happy","VERY HAPPY","Excellent","Better","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"421","Pretty happy",".i:  Inapplicable","Excellent","Stayed same","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"422","Not too happy","VERY HAPPY","Fair","Worse","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"423","Not too happy","PRETTY HAPPY","Good","Stayed same","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"424","Not too happy",".i:  Inapplicable","Poor","Stayed same","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"425","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"426","Pretty happy","PRETTY HAPPY","Good","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"427","Pretty happy","PRETTY HAPPY","Good","Stayed same","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"428","Not too happy",".i:  Inapplicable","Good","Stayed same","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"429","Pretty happy",".i:  Inapplicable","Good","Stayed same","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"430","Pretty happy",".i:  Inapplicable","Good","Better","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"431","Not too happy",".i:  Inapplicable","Good","Better","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"432","Very happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"433","Pretty happy",".i:  Inapplicable","Good","Worse","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"434","Not too happy",".i:  Inapplicable","Good","Stayed same","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"435","Pretty happy","PRETTY HAPPY","Good","Stayed same","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"436","Very happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"437","Pretty happy",".i:  Inapplicable","Fair","Better","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"438","Pretty happy","PRETTY HAPPY","Good","Stayed same","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"439","Pretty happy","VERY HAPPY","Good","Better","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"440","Pretty happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"441","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"442","Pretty happy",".i:  Inapplicable","Good","Better","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"443","Pretty happy","PRETTY HAPPY","Good","Stayed same","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"444","Pretty happy","PRETTY HAPPY","Good","Stayed same","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"445","Not too happy",".i:  Inapplicable","Good","Better","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"446","Very happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"447","Pretty happy",".i:  Inapplicable","Good","Better","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"448","Pretty happy","VERY HAPPY","Good","Better","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"449","Not too happy",".i:  Inapplicable","Good","Better","Not satisfied at all","$150000 TO $169999","90 000 to 170 000"
"450","Not too happy",".i:  Inapplicable","Fair","Worse","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"451","Pretty happy",".i:  Inapplicable","Fair","Worse","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"452","Pretty happy",".i:  Inapplicable","Fair","Worse","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"453","Pretty happy",".i:  Inapplicable","Excellent","Stayed same","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"454","Pretty happy","VERY HAPPY","Fair","Worse","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"455","Not too happy",".i:  Inapplicable","Good","Better","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"456","Pretty happy","PRETTY HAPPY","Excellent","Better","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"457","Very happy","VERY HAPPY","Good","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"458","Pretty happy","PRETTY HAPPY","Excellent","Stayed same","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"459","Very happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"460","Pretty happy","VERY HAPPY","Good","Stayed same","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"461","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$7 000 TO 7 999","0 to 9 999"
"462","Not too happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"463","Pretty happy",".i:  Inapplicable","Fair","Better","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"464","Pretty happy",".i:  Inapplicable","Fair","Stayed same","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"465","Not too happy",".i:  Inapplicable","Excellent","Worse","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"466","Pretty happy",".i:  Inapplicable","Good","Stayed same","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"467","Pretty happy",".i:  Inapplicable","Good","Worse","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"468","Very happy","VERY HAPPY","Good","Better","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"469","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$8 000 TO 9 999","0 to 9 999"
"470","Pretty happy","PRETTY HAPPY","Good","Better","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"471","Very happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"472","Not too happy",".i:  Inapplicable","Good","Stayed same","Not satisfied at all","UNDER $1 000","0 to 9 999"
"473","Pretty happy",".i:  Inapplicable","Good","Worse","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"474","Not too happy",".i:  Inapplicable","Fair","Worse","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"475","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"476","Not too happy",".i:  Inapplicable","Fair","Worse","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"477","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$3 000 TO 3 999","0 to 9 999"
"478","Very happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"479","Very happy","VERY HAPPY","Good","Better","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"480","Pretty happy","NOT TOO HAPPY","Good","Stayed same","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"481","Very happy",".i:  Inapplicable","Excellent","Better","Pretty well satisfied","$6 000 TO 6 999","0 to 9 999"
"482","Very happy",".i:  Inapplicable","Good","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"483","Pretty happy","PRETTY HAPPY","Good","Better","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"484","Pretty happy","PRETTY HAPPY","Fair","Stayed same","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"485","Not too happy",".i:  Inapplicable","Poor","Worse","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"486","Very happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"487","Not too happy","VERY HAPPY","Good","Stayed same","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"488","Pretty happy","PRETTY HAPPY","Excellent","Worse","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"489","Very happy","VERY HAPPY","Excellent","Stayed same","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"490","Very happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"491","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"492","Pretty happy",".i:  Inapplicable","Good","Stayed same","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"493","Pretty happy",".i:  Inapplicable","Fair","Worse","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"494","Not too happy","PRETTY HAPPY","Fair","Worse","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"495","Not too happy",".i:  Inapplicable","Good","Better","Pretty well satisfied","$1 000 TO 2 999","0 to 9 999"
"496","Not too happy",".i:  Inapplicable","Fair","Stayed same","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"497","Not too happy",".i:  Inapplicable","Fair","Worse","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"498","Pretty happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"499","Very happy",".i:  Inapplicable","Good","Better","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"500","Pretty happy","VERY HAPPY","Good","Better","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"501","Not too happy",".i:  Inapplicable","Fair","Worse","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"502","Very happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"503","Pretty happy","VERY HAPPY","Good","Worse","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"504","Not too happy",".i:  Inapplicable","Excellent","Stayed same","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"505","Not too happy",".i:  Inapplicable","Fair","Stayed same","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"506","Pretty happy",".i:  Inapplicable","Fair","Stayed same","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"507","Pretty happy","PRETTY HAPPY","Fair","Better","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"508","Pretty happy","VERY HAPPY","Good","Better","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"509","Pretty happy","VERY HAPPY","Fair","Stayed same","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"510","Pretty happy",".i:  Inapplicable","Excellent","Worse","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"511","Not too happy",".i:  Inapplicable","Fair","Stayed same","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"512","Pretty happy","PRETTY HAPPY","Excellent","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"513","Pretty happy","PRETTY HAPPY","Excellent","Better","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"514","Pretty happy",".i:  Inapplicable","Fair","Better","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"515","Pretty happy","PRETTY HAPPY","Good","Better","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"516","Not too happy","PRETTY HAPPY","Fair","Worse","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"517","Pretty happy",".i:  Inapplicable","Fair","Worse","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"518","Pretty happy","VERY HAPPY","Good","Better","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"519","Pretty happy",".i:  Inapplicable","Good","Better","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"520","Pretty happy","VERY HAPPY","Good","Worse","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"521","Pretty happy","PRETTY HAPPY","Good","Stayed same","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"522","Pretty happy","VERY HAPPY","Good","Better","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"523","Pretty happy","PRETTY HAPPY","Good","Stayed same","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"524","Very happy","VERY HAPPY","Good","Worse","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"525","Very happy","VERY HAPPY","Good","Better","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"526","Very happy","VERY HAPPY","Good","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"527","Not too happy","PRETTY HAPPY","Good","Stayed same","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"528","Very happy","VERY HAPPY","Fair","Stayed same","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"529","Pretty happy","VERY HAPPY","Good","Worse","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"530","Very happy","VERY HAPPY","Good","Better","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"531","Not too happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"532","Pretty happy","NOT TOO HAPPY","Fair","Better","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"533","Pretty happy","PRETTY HAPPY","Good","Better","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"534","Very happy","VERY HAPPY","Excellent","Stayed same","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"535","Very happy","VERY HAPPY","Good","Better","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"536","Very happy","VERY HAPPY","Fair","Stayed same","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"537","Pretty happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"538","Pretty happy","PRETTY HAPPY","Fair","Stayed same","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"539","Not too happy",".i:  Inapplicable","Good","Better","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"540","Pretty happy","VERY HAPPY","Fair","Worse","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"541","Pretty happy","VERY HAPPY","Fair","Stayed same","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"542","Not too happy",".i:  Inapplicable","Good","Worse","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"543","Pretty happy",".i:  Inapplicable","Fair","Worse","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"544","Pretty happy","PRETTY HAPPY","Good","Better","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"545","Pretty happy","PRETTY HAPPY","Excellent","Stayed same","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"546","Pretty happy",".i:  Inapplicable","Good","Stayed same","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"547","Very happy",".i:  Inapplicable","Excellent","Stayed same","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"548","Very happy",".i:  Inapplicable","Fair","Better","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"549","Not too happy",".i:  Inapplicable","Excellent","Worse","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"550","Not too happy",".i:  Inapplicable","Fair","Worse","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"551","Pretty happy",".i:  Inapplicable","Good","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"552","Pretty happy","PRETTY HAPPY","Good","Stayed same","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"553","Pretty happy","VERY HAPPY","Good","Stayed same","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"554","Pretty happy",".i:  Inapplicable","Fair","Stayed same","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"555","Pretty happy","PRETTY HAPPY","Good","Better","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"556","Pretty happy",".i:  Inapplicable","Fair","Stayed same","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"557","Not too happy",".i:  Inapplicable","Good","Better","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"558","Very happy","VERY HAPPY","Fair","Worse","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"559","Pretty happy","PRETTY HAPPY","Fair","Worse","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"560","Very happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"561","Pretty happy",".i:  Inapplicable","Good","Worse","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"562","Pretty happy","PRETTY HAPPY","Fair","Stayed same","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"563","Pretty happy","VERY HAPPY","Good","Worse","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"564","Pretty happy",".i:  Inapplicable","Fair","Better","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"565","Pretty happy",".i:  Inapplicable","Good","Worse","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"566","Very happy",".i:  Inapplicable","Excellent","Better","More or less satisfied","$6 000 TO 6 999","0 to 9 999"
"567","Very happy","VERY HAPPY","Good","Better","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"568","Very happy",".i:  Inapplicable","Excellent","Better","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"569","Not too happy",".i:  Inapplicable","Excellent","Better","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"570","Pretty happy",".i:  Inapplicable","Good","Worse","More or less satisfied","UNDER $1 000","0 to 9 999"
"571","Pretty happy",".i:  Inapplicable","Excellent","Stayed same","Pretty well satisfied","$20000 TO 22499","20 000 to 39 999"
"572","Very happy","VERY HAPPY","Excellent","Better","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"573","Pretty happy","NOT TOO HAPPY","Fair","Stayed same","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"574","Not too happy","PRETTY HAPPY","Fair","Better","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"575","Not too happy","VERY HAPPY","Good","Stayed same","Not satisfied at all","UNDER $1 000","0 to 9 999"
"576","Very happy","VERY HAPPY","Excellent","Stayed same","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"577","Pretty happy","PRETTY HAPPY","Fair","Worse","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"578","Not too happy",".i:  Inapplicable","Good","Worse","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"579","Pretty happy",".i:  Inapplicable","Excellent","Better","Pretty well satisfied","$7 000 TO 7 999","0 to 9 999"
"580","Pretty happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"581","Not too happy","PRETTY HAPPY","Good","Stayed same","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"582","Pretty happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"583","Not too happy","PRETTY HAPPY","Good","Stayed same","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"584","Pretty happy","NOT TOO HAPPY","Good","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"585","Pretty happy",".i:  Inapplicable","Good","Better","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"586","Not too happy","PRETTY HAPPY","Good","Stayed same","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"587","Not too happy",".i:  Inapplicable","Excellent","Better","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"588","Pretty happy",".i:  Inapplicable","Fair","Worse","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"589","Pretty happy","VERY HAPPY","Excellent","Worse","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"590","Not too happy",".i:  Inapplicable","Fair","Worse","Not satisfied at all","$17500 TO 19999","10 000 to 19 999"
"591","Pretty happy",".i:  Inapplicable","Good","Better","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"592","Not too happy","VERY HAPPY","Excellent","Worse","Not satisfied at all","$170000 OR OVER","90 000 to 170 000"
"593","Pretty happy",".i:  Inapplicable","Good","Stayed same","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"594","Not too happy",".i:  Inapplicable","Excellent","Worse","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"595","Not too happy",".i:  Inapplicable","Fair","Stayed same","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"596","Not too happy",".i:  Inapplicable","Poor","Better","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"597","Pretty happy","NOT TOO HAPPY","Good","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"598","Pretty happy",".i:  Inapplicable","Good","Worse","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"599","Not too happy","NOT TOO HAPPY","Fair","Stayed same","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"600","Not too happy",".i:  Inapplicable","Fair","Stayed same","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"601","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"602","Pretty happy","VERY HAPPY","Good","Worse","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"603","Not too happy",".i:  Inapplicable","Good","Worse","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"604","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"605","Very happy","VERY HAPPY","Good","Worse","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"606","Pretty happy",".i:  Inapplicable","Good","Stayed same","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"607","Not too happy",".i:  Inapplicable","Fair","Better","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"608","Very happy",".i:  Inapplicable","Excellent","Better","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"609","Very happy","VERY HAPPY","Good","Better","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"610","Not too happy",".i:  Inapplicable","Excellent","Better","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"611","Pretty happy",".i:  Inapplicable","Excellent","Better","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"612","Pretty happy","VERY HAPPY","Good","Stayed same","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"613","Not too happy","PRETTY HAPPY","Good","Stayed same","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"614","Pretty happy","PRETTY HAPPY","Good","Better","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"615","Not too happy","NOT TOO HAPPY","Good","Worse","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"616","Very happy","VERY HAPPY","Good","Better","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"617","Not too happy",".i:  Inapplicable","Fair","Worse","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"618","Pretty happy","VERY HAPPY","Good","Worse","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"619","Pretty happy","PRETTY HAPPY","Excellent","Stayed same","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"620","Not too happy",".i:  Inapplicable","Good","Stayed same","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"621","Pretty happy",".i:  Inapplicable","Good","Stayed same","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"622","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"623","Very happy",".i:  Inapplicable","Excellent","Better","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"624","Very happy",".i:  Inapplicable","Fair","Stayed same","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"625","Not too happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"626","Pretty happy",".i:  Inapplicable","Good","Stayed same","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"627","Not too happy",".i:  Inapplicable","Fair","Stayed same","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"628","Pretty happy",".i:  Inapplicable","Good","Better","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"629","Pretty happy","VERY HAPPY","Excellent","Stayed same","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"630","Not too happy",".i:  Inapplicable","Good","Worse","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"631","Very happy",".i:  Inapplicable","Good","Worse","Not satisfied at all","$17500 TO 19999","10 000 to 19 999"
"632","Pretty happy",".i:  Inapplicable","Good","Better","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"633","Pretty happy","VERY HAPPY","Good","Better","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"634","Not too happy",".i:  Inapplicable","Fair","Worse","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"635","Pretty happy",".i:  Inapplicable","Fair","Worse","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"636","Not too happy",".i:  Inapplicable","Fair","Worse","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"637","Very happy","VERY HAPPY","Poor","Worse","More or less satisfied","$7 000 TO 7 999","0 to 9 999"
"638","Very happy",".i:  Inapplicable","Excellent","Better","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"639","Not too happy",".i:  Inapplicable","Good","Better","Not satisfied at all","$3 000 TO 3 999","0 to 9 999"
"640","Not too happy","PRETTY HAPPY","Good","Stayed same","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"641","Very happy","PRETTY HAPPY","Good","Better","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"642","Very happy","VERY HAPPY","Excellent","Stayed same","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"643","Pretty happy","PRETTY HAPPY","Good","Better","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"644","Very happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"645","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"646","Very happy","PRETTY HAPPY","Excellent","Better","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"647","Pretty happy",".i:  Inapplicable","Good","Stayed same","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"648","Very happy",".i:  Inapplicable","Excellent","Stayed same","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"649","Pretty happy",".i:  Inapplicable","Good","Better","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"650","Not too happy","PRETTY HAPPY","Good","Worse","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"651","Not too happy",".i:  Inapplicable","Good","Stayed same","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"652","Pretty happy",".i:  Inapplicable","Fair","Stayed same","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"653","Not too happy","PRETTY HAPPY","Fair","Worse","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"654","Pretty happy","VERY HAPPY","Fair","Stayed same","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"655","Very happy","VERY HAPPY","Poor","Stayed same","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"656","Very happy","VERY HAPPY","Good","Better","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"657","Very happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"658","Not too happy",".i:  Inapplicable","Poor","Worse","Not satisfied at all","$7 000 TO 7 999","0 to 9 999"
"659","Not too happy",".i:  Inapplicable","Poor","Worse","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"660","Not too happy","VERY HAPPY","Poor","Worse","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
