"","happy","hapmar","health","finalter","satfin","income16","new_income_range"
"300","Pretty happy",".i:  Inapplicable","Good","Stayed same","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"301","Not too happy",".n:  No answer","Fair","Stayed same","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"302","Very happy","VERY HAPPY","Good","Worse","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"303","Pretty happy","PRETTY HAPPY","Good","Stayed same","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"304","Very happy",".i:  Inapplicable","Good","Better","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"305","Pretty happy","PRETTY HAPPY","Good","Stayed same","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"306","Not too happy","NOT TOO HAPPY","Fair","Stayed same","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"307","Not too happy","NOT TOO HAPPY","Excellent","Stayed same","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"308","Pretty happy",".i:  Inapplicable","Excellent","Worse","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"309","Not too happy",".i:  Inapplicable","Good","Better","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"310","Pretty happy",".i:  Inapplicable","Good","Better","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"311","Pretty happy","PRETTY HAPPY","Fair","Stayed same","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"312","Pretty happy","PRETTY HAPPY","Good","Worse","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"313","Pretty happy",".i:  Inapplicable","Good","Better","More or less satisfied","$5 000 TO 5 999","0 to 9 999"
"314","Not too happy",".i:  Inapplicable","Excellent","Worse","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"315","Pretty happy",".i:  Inapplicable","Excellent","Better","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"316","Not too happy","VERY HAPPY","Good","Stayed same","Pretty well satisfied","$20000 TO 22499","20 000 to 39 999"
"317","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"318","Pretty happy",".i:  Inapplicable","Good","Worse","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"319","Not too happy",".i:  Inapplicable","Fair","Worse","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"320","Pretty happy",".i:  Inapplicable","Good","Worse","Not satisfied at all","$150000 TO $169999","90 000 to 170 000"
"321","Pretty happy",".s:  Skipped on Web","Excellent","Stayed same","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"322","Pretty happy","VERY HAPPY","Good","Stayed same","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"323","Very happy","VERY HAPPY","Good","Better","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"324","Pretty happy","PRETTY HAPPY","Good","Better","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"325","Not too happy",".i:  Inapplicable","Fair","Stayed same","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"326","Pretty happy","PRETTY HAPPY","Good","Better","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"327","Very happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"328","Not too happy",".i:  Inapplicable","Good","Stayed same","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"329","Very happy","VERY HAPPY","Excellent","Stayed same","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"330","Pretty happy",".i:  Inapplicable","Fair","Worse","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"331","Not too happy","NOT TOO HAPPY","Good","Stayed same","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"332","Pretty happy",".i:  Inapplicable","Good","Better","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"333","Pretty happy",".i:  Inapplicable","Excellent","Stayed same","Pretty well satisfied","$8 000 TO 9 999","0 to 9 999"
"334","Very happy","VERY HAPPY","Good","Worse","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"335","Not too happy",".i:  Inapplicable","Good","Worse","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"336","Pretty happy",".i:  Inapplicable","Fair","Better","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"337","Pretty happy",".i:  Inapplicable","Excellent","Stayed same","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"338","Pretty happy",".i:  Inapplicable","Good","Better","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"339","Pretty happy",".i:  Inapplicable","Excellent","Worse","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"340","Pretty happy","PRETTY HAPPY","Fair","Worse","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"341","Pretty happy",".i:  Inapplicable","Excellent","Better","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"342","Pretty happy","VERY HAPPY","Good","Better","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"343","Not too happy",".i:  Inapplicable","Good","Better","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"344","Very happy",".i:  Inapplicable","Good","Better","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"345","Very happy","VERY HAPPY","Good","Stayed same","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"346","Very happy",".i:  Inapplicable","Excellent","Better","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"347","Pretty happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"348","Pretty happy",".i:  Inapplicable","Good","Worse","More or less satisfied","$8 000 TO 9 999","0 to 9 999"
